Comment,Designator,Footprint,LCSC,Quantity
1k,"R4,R7",R_0402_1005Metric,C11702,2
100nF,"C12,C13,C14,C15,C16,C17,C18,C5,C8,C9",C_0402_1005Metric,C1525,10
10uF,C10,C_0402_1005Metric,C15525,1
22pF,"C2,C3",C_0402_1005Metric,C1555,2
Conn_01x04_MountingPin,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
USB_C,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
1k,"R106,R107,R108,R5,R6",R_0805_2012Metric,C17513,5
22,R100,R_0805_2012Metric,C17561,1
RP2040,U2,RP2040-QFN-56,C2040,1
D_Small,"D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D121,D122,D124,D126,D127,D128,D129,D13,D130,D131,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D24,D25,D26,D27,D29,D3,D30,D31,D32,D35,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",D_SOD-123,C2099,119
27R,"R2,R3",R_0603_1608Metric,C25190,2
5.1k,"R22,R8",R_0402_1005Metric,C25905,2
0.1uF,C1,C_0805_2012Metric,C49678,1
1uF,"C11,C4,C6,C7",C_0402_1005Metric,C52923,4
XC6206,U5,SOT-23,C5446,1
500mA,"F1,F2",Fuse_1206_3216Metric,C70076,2
SRV05-4,U3,SOT-23-6-routable,C85364,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521,1
