Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,89.46,112.45,180.0,bottom
C10,10uF,C_0402_1005Metric,-8.675,114.51375,0.0,bottom
C11,1uF,C_0402_1005Metric,-14.38875,111.86125,270.0,bottom
C12,100nF,C_0402_1005Metric,-23.56375,114.31625,0.0,bottom
C13,100nF,C_0402_1005Metric,-17.76375,111.81125,270.0,bottom
C14,100nF,C_0402_1005Metric,-24.5,118.85,0.0,bottom
C15,100nF,C_0402_1005Metric,-17.30375,124.4095,90.0,bottom
C16,100nF,C_0402_1005Metric,-12.955,113.92625,180.0,bottom
C17,100nF,C_0402_1005Metric,-12.955,112.92625,180.0,bottom
C18,100nF,C_0402_1005Metric,-11.936685,119.872954,90.0,bottom
C2,22pF,C_0402_1005Metric,-22.14375,124.4095,270.0,bottom
C3,22pF,C_0402_1005Metric,-22.15375,126.3095,90.0,bottom
C4,1uF,C_0402_1005Metric,-10.88875,110.03875,180.0,bottom
C5,100nF,C_0402_1005Metric,-25.71375,103.98625,90.0,bottom
C6,1uF,C_0402_1005Metric,-10.575,114.51375,0.0,bottom
C7,1uF,C_0402_1005Metric,-15.38875,111.86125,270.0,bottom
C8,100nF,C_0402_1005Metric,-16.16875,124.4995,90.0,bottom
C9,100nF,C_0402_1005Metric,-17.8675,109.895,90.0,bottom
D1,D_Small,D_SOD-123,-248.443742,130.143742,90.0,bottom
D10,D_Small,D_SOD-123,111.91875,130.14375,90.0,bottom
D100,D_Small,D_SOD-123,150.8125,15.84375,90.0,bottom
D101,D_Small,D_SOD-123,-110.33125,34.89375,90.0,bottom
D102,D_Small,D_SOD-123,-72.23125,34.89375,90.0,bottom
D103,D_Small,D_SOD-123,-34.13125,34.89375,90.0,bottom
D104,D_Small,D_SOD-123,18.25625,34.89375,90.0,bottom
D105,D_Small,D_SOD-123,65.88125,34.89375,90.0,bottom
D106,D_Small,D_SOD-123,113.50625,34.89375,90.0,bottom
D107,D_Small,D_SOD-123,150.01875,34.89375,90.0,bottom
D11,D_Small,D_SOD-123,151.60797,130.14375,90.0,bottom
D110,D_Small,D_SOD-123,-205.58125,34.89375,90.0,bottom
D111,D_Small,D_SOD-123,-167.48125,34.89375,90.0,bottom
D112,D_Small,D_SOD-123,-129.38125,34.89375,90.0,bottom
D113,D_Small,D_SOD-123,-91.28125,34.89375,90.0,bottom
D114,D_Small,D_SOD-123,-53.18125,34.89375,90.0,bottom
D115,D_Small,D_SOD-123,-0.79375,34.89375,90.0,bottom
D116,D_Small,D_SOD-123,46.83125,34.89375,90.0,bottom
D117,D_Small,D_SOD-123,84.93125,34.89375,90.0,bottom
D118,D_Small,D_SOD-123,132.55625,34.89375,90.0,bottom
D119,D_Small,D_SOD-123,153.19375,34.89375,90.0,bottom
D121,D_Small,D_SOD-123,-243.68125,15.84375,90.0,bottom
D122,D_Small,D_SOD-123,-219.86875,15.84375,90.0,bottom
D124,D_Small,D_SOD-123,-115.09375,15.84375,90.0,bottom
D126,D_Small,D_SOD-123,-55.5625,15.84375,90.0,bottom
D127,D_Small,D_SOD-123,-31.75,15.84375,90.0,bottom
D128,D_Small,D_SOD-123,15.875,15.84375,90.0,bottom
D129,D_Small,D_SOD-123,65.88125,15.84375,90.0,bottom
D13,D_Small,D_SOD-123,-196.05625,15.84375,90.0,bottom
D130,D_Small,D_SOD-123,107.15625,15.84375,90.0,bottom
D131,D_Small,D_SOD-123,148.43125,15.84375,90.0,bottom
D14,D_Small,D_SOD-123,-200.81875,72.99375,90.0,bottom
D15,D_Small,D_SOD-123,-162.71875,72.99375,90.0,bottom
D16,D_Small,D_SOD-123,-124.61875,72.99375,90.0,bottom
D17,D_Small,D_SOD-123,-86.51875,72.99375,90.0,bottom
D18,D_Small,D_SOD-123,-48.41875,72.99375,90.0,bottom
D19,D_Small,D_SOD-123,-10.31875,72.99375,90.0,bottom
D2,D_Small,D_SOD-123,-210.34355,130.14375,90.0,bottom
D20,D_Small,D_SOD-123,46.83125,72.99375,90.0,bottom
D21,D_Small,D_SOD-123,84.93125,72.99375,90.0,bottom
D22,D_Small,D_SOD-123,132.55625,72.99375,90.0,bottom
D24,D_Small,D_SOD-123,-191.29375,130.14375,90.0,bottom
D25,D_Small,D_SOD-123,-153.19331,130.14375,90.0,bottom
D26,D_Small,D_SOD-123,-105.56875,130.14375,90.0,bottom
D27,D_Small,D_SOD-123,-67.46875,130.14375,90.0,bottom
D29,D_Small,D_SOD-123,-0.79375,130.14375,90.0,bottom
D3,D_Small,D_SOD-123,-172.24339,130.14375,90.0,bottom
D30,D_Small,D_SOD-123,46.83253,130.14375,90.0,bottom
D31,D_Small,D_SOD-123,84.93125,130.14375,90.0,bottom
D32,D_Small,D_SOD-123,115.09375,130.14375,90.0,bottom
D35,D_Small,D_SOD-123,170.65625,72.99375,90.0,bottom
D37,D_Small,D_SOD-123,-241.299986,53.943678,90.0,bottom
D38,D_Small,D_SOD-123,-215.10625,53.94375,90.0,bottom
D39,D_Small,D_SOD-123,-177.00625,53.94375,90.0,bottom
D4,D_Small,D_SOD-123,-124.61875,130.14375,90.0,bottom
D40,D_Small,D_SOD-123,-138.90625,53.94375,90.0,bottom
D41,D_Small,D_SOD-123,-100.80625,53.94375,90.0,bottom
D42,D_Small,D_SOD-123,-62.70625,53.94375,90.0,bottom
D43,D_Small,D_SOD-123,-26.19375,53.94375,90.0,bottom
D44,D_Small,D_SOD-123,4.7625,53.94375,90.0,bottom
D45,D_Small,D_SOD-123,-248.44371,92.04375,90.0,bottom
D46,D_Small,D_SOD-123,-210.34355,92.04355,90.0,bottom
D47,D_Small,D_SOD-123,-172.24339,92.04355,90.0,bottom
D48,D_Small,D_SOD-123,-134.14323,92.04355,90.0,bottom
D49,D_Small,D_SOD-123,-96.04307,92.04355,90.0,bottom
D5,D_Small,D_SOD-123,-86.51875,130.14375,90.0,bottom
D50,D_Small,D_SOD-123,-57.94291,92.04355,90.0,bottom
D51,D_Small,D_SOD-123,-21.43125,92.04375,90.0,bottom
D52,D_Small,D_SOD-123,18.25625,92.04375,90.0,bottom
D53,D_Small,D_SOD-123,65.88125,92.04375,90.0,bottom
D54,D_Small,D_SOD-123,113.506562,92.04371,90.0,bottom
D55,D_Small,D_SOD-123,151.60625,92.04375,90.0,bottom
D57,D_Small,D_SOD-123,65.88125,53.94375,90.0,bottom
D58,D_Small,D_SOD-123,113.50625,53.94375,90.0,bottom
D59,D_Small,D_SOD-123,150.8125,53.94375,90.0,bottom
D6,D_Small,D_SOD-123,-38.89375,130.14375,90.0,bottom
D60,D_Small,D_SOD-123,-7.9375,15.84375,90.0,bottom
D61,D_Small,D_SOD-123,46.83125,15.84375,90.0,bottom
D62,D_Small,D_SOD-123,-196.05625,53.94375,90.0,bottom
D63,D_Small,D_SOD-123,-157.95625,53.94375,90.0,bottom
D64,D_Small,D_SOD-123,-119.85625,53.94375,90.0,bottom
D65,D_Small,D_SOD-123,-81.75625,53.94375,90.0,bottom
D66,D_Small,D_SOD-123,-43.65625,53.94375,90.0,bottom
D67,D_Small,D_SOD-123,-229.39375,92.04375,90.0,bottom
D68,D_Small,D_SOD-123,-191.29347,92.04355,90.0,bottom
D69,D_Small,D_SOD-123,-153.19331,92.04355,90.0,bottom
D7,D_Small,D_SOD-123,-25.22,130.14375,90.0,bottom
D70,D_Small,D_SOD-123,-115.09375,92.04375,90.0,bottom
D71,D_Small,D_SOD-123,-76.99375,92.04355,90.0,bottom
D72,D_Small,D_SOD-123,-38.89283,92.04355,90.0,bottom
D73,D_Small,D_SOD-123,-18.25625,92.04375,90.0,bottom
D74,D_Small,D_SOD-123,46.83125,92.04375,90.0,bottom
D75,D_Small,D_SOD-123,84.93125,92.04375,90.0,bottom
D76,D_Small,D_SOD-123,132.55625,92.04375,90.0,bottom
D77,D_Small,D_SOD-123,170.65625,92.04375,90.0,bottom
D78,D_Small,D_SOD-123,84.93125,15.84375,90.0,bottom
D79,D_Small,D_SOD-123,-23.01875,53.94375,90.0,bottom
D8,D_Small,D_SOD-123,18.25625,130.14375,90.0,bottom
D80,D_Small,D_SOD-123,46.83125,53.94375,90.0,bottom
D81,D_Small,D_SOD-123,84.93125,53.94375,90.0,bottom
D82,D_Small,D_SOD-123,132.55625,53.94375,90.0,bottom
D83,D_Small,D_SOD-123,165.1,53.94375,90.0,bottom
D84,D_Small,D_SOD-123,132.55625,15.84375,90.0,bottom
D85,D_Small,D_SOD-123,-249.2375,34.89375,90.0,bottom
D86,D_Small,D_SOD-123,-224.63125,34.89375,90.0,bottom
D87,D_Small,D_SOD-123,-186.53125,34.89375,90.0,bottom
D88,D_Small,D_SOD-123,-148.43125,34.89375,90.0,bottom
D89,D_Small,D_SOD-123,-243.68125,72.99375,90.0,bottom
